acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
6.098,9.574,0.614,2.971,0.674,0.01,1.786,0.474,25525.720941
6.098,9.574,0.614,2.971,0.674,0.01,1.187,0.737,26234.671617
6.098,9.574,0.614,2.971,0.674,0.01,1.187,0.474,26060.394897
8.91,10.863,1.379,1.894,0.717,0.92,4.736,1.987,27072.066389
9.098,10.863,1.379,1.894,0.717,0.92,4.736,1.987,27453.959298
8.91,6.574,1.379,1.894,0.717,0.92,4.736,1.987,26091.450194999998
8.91,10.863,1.714,1.894,0.717,0.92,4.736,1.987,26909.79133
8.91,10.863,1.379,0.321,0.717,0.92,4.736,1.987,27254.564255
8.91,10.863,1.379,1.894,0.174,0.92,4.736,1.987,26911.121406000002
8.91,10.863,1.379,1.894,0.717,0.51,4.736,1.987,27125.82825
8.91,10.863,1.379,1.894,0.717,0.92,4.137,1.987,27238.188557
8.91,10.863,1.379,1.894,0.717,0.92,4.736,1.724,26501.542937
8.91,6.574,1.714,0.321,0.174,0.51,4.137,1.724,27329.467196999998
9.098,10.863,1.714,0.321,0.174,0.51,4.137,1.724,21670.277308
9.098,6.574,1.379,0.321,0.174,0.51,4.137,1.724,26685.555047
9.098,6.574,1.714,1.894,0.174,0.51,4.137,1.724,26981.092108
9.098,6.574,1.714,0.321,0.717,0.51,4.137,1.724,26905.860301
9.098,6.574,1.714,0.321,0.174,0.92,4.137,1.724,27293.25337
9.098,6.574,1.714,0.321,0.174,0.51,4.736,1.724,27108.178981
9.098,6.574,1.714,0.321,0.174,0.51,4.137,1.987,26869.240581
9.098,6.574,1.714,0.321,0.174,0.51,4.137,1.724,26972.279892
7.41,6.363,1.929,3.219,0.967,0.67,0.311,1.362,26602.1181
7.598,6.363,1.929,3.219,0.967,0.67,0.311,1.362,26306.905583
7.41,8.074,1.929,3.219,0.967,0.67,0.311,1.362,26648.484181
7.41,6.363,2.264,3.219,0.967,0.67,0.311,1.362,26911.391765
7.41,6.363,1.929,1.646,0.967,0.67,0.311,1.362,26360.983937
7.41,6.363,1.929,3.219,0.924,0.67,0.311,1.362,26404.815419000002
7.41,6.363,1.929,3.219,0.967,0.26,0.311,1.362,26081.046992999996
7.41,6.363,1.929,3.219,0.967,0.67,5.612,1.362,26608.301149
7.41,6.363,1.929,3.219,0.967,0.67,0.311,1.099,25436.820720000003
7.41,8.074,2.264,1.646,0.924,0.26,5.612,1.099,26310.846801
7.598,6.363,2.264,1.646,0.924,0.26,5.612,1.099,23597.092468
7.598,8.074,1.929,1.646,0.924,0.26,5.612,1.099,26287.920194
7.598,8.074,2.264,3.219,0.924,0.26,5.612,1.099,26348.972370000003
7.598,8.074,2.264,1.646,0.967,0.26,5.612,1.099,26397.766218
7.598,8.074,2.264,1.646,0.924,0.67,5.612,1.099,26317.400767
7.598,8.074,2.264,1.646,0.924,0.26,0.311,1.099,26858.364966
7.598,8.074,2.264,1.646,0.924,0.26,5.612,1.362,26461.467076
7.598,8.074,2.264,1.646,0.924,0.26,5.612,1.099,26673.542045000002
4.41,9.363,0.829,0.569,0.467,0.17,3.261,0.112,25879.120156
4.598,9.363,0.829,0.569,0.467,0.17,3.261,0.112,25885.027038
4.41,11.074,0.829,0.569,0.467,0.17,3.261,0.112,20352.335026
4.41,9.363,1.164,0.569,0.467,0.17,3.261,0.112,17995.196381
4.41,9.363,0.829,4.296,0.467,0.17,3.261,0.112,25895.795089
4.41,9.363,0.829,0.569,0.424,0.17,3.261,0.112,25501.88841
4.41,9.363,0.829,0.569,0.467,0.76,3.261,0.112,19407.063543
4.41,9.363,0.829,0.569,0.467,0.17,2.662,0.112,20088.320268000003
4.41,9.363,0.829,0.569,0.467,0.17,3.261,2.349,25959.233914
