acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
9.1,9.0,1.8,1.8,0.8,0.7,0.6,1.0,26888.431274000002
9.7,7.7,1.8,1.8,0.8,0.7,0.6,1.0,27158.437694
9.7,9.0,1.6,1.8,0.8,0.7,0.6,1.0,26518.516119
9.7,9.0,1.8,3.4,0.8,0.7,0.6,1.0,27410.375439
9.7,9.0,1.8,1.8,0.3,0.7,0.6,1.0,22027.994327
9.7,9.0,1.8,1.8,0.8,0.1,0.6,1.0,27243.276611
9.7,9.0,1.8,1.8,0.8,0.7,3.4,1.0,26955.357755999998
9.7,9.0,1.8,1.8,0.8,0.7,0.6,0.7,26604.087007
9.7,9.0,1.8,1.8,0.8,0.7,0.6,1.0,27483.593153
6.1,10.7,0.5,0.7,0.8,0.6,0.5,1.9,25657.812152000002
6.7,10.7,0.5,0.7,0.8,0.6,0.5,1.9,26889.359088
6.1,6.0,0.5,0.7,0.8,0.6,0.5,1.9,25990.996079
6.1,10.7,0.7,0.7,0.8,0.6,0.5,1.9,25875.476598
6.1,10.7,0.5,4.5,0.8,0.6,0.5,1.9,26213.560115
6.1,10.7,0.5,0.7,0.3,0.6,0.5,1.9,26177.564503
6.1,10.7,0.5,0.7,0.8,0.2,0.5,1.9,26147.463737
6.1,10.7,0.5,0.7,0.8,0.6,3.6,1.9,25965.859468000002
6.1,10.7,0.5,0.7,0.8,0.6,0.5,2.3,25678.362823000003
6.1,6.0,0.7,4.5,0.3,0.2,3.6,2.3,25883.802597
6.7,10.7,0.7,4.5,0.3,0.2,3.6,2.3,26190.160171999996
6.7,6.0,0.5,4.5,0.3,0.2,3.6,2.3,25710.975269
6.7,6.0,0.7,0.7,0.3,0.2,3.6,2.3,24049.422808
6.7,6.0,0.7,4.5,0.8,0.2,3.6,2.3,26205.325127999997
